cohort,name,student no,COM233 grade,COM233 lecturer,COM234 grade,COM234 lecturer,COM281 grade,COM281 lecturer,COM295 grade,COM295 lecturer,COM240 grade,COM240 lecturer,COM236 grade,COM236 lecturer
Y10703_BF1A_22-23,Emma Johnson,30011181,59,Emma Davis,99,Noah Thompson,100,Noah Thompson,54,Emma Davis,64,Noah Thompson,56,Ethan Harris
Y10703_BF1A_22-23,Michael O'Sullivan,30011182,92,Emma Davis,69,Noah Thompson,88,Noah Thompson,61,Emma Davis,43,Noah Thompson,95,Ethan Harris
Y10703_BF1A_22-23,John O'Connell,30011184,40,Emma Davis,72,Noah Thompson,90,Noah Thompson,85,Emma Davis,53,Noah Thompson,90,Ethan Harris
Y10703_BF1A_22-23,Olivia Brown,30011187,93,Emma Davis,42,Noah Thompson,78,Noah Thompson,52,Emma Davis,47,Noah Thompson,61,Ethan Harris
Y10703_BF1A_22-23,David MacDonald,30011188,50,Emma Davis,87,Noah Thompson,63,Noah Thompson,73,Emma Davis,59,Noah Thompson,55,Ethan Harris
Y10703_BF1A_22-23,Amelia Miller,30011189,76,Emma Davis,48,Noah Thompson,77,Noah Thompson,76,Emma Davis,40,Noah Thompson,54,Ethan Harris
Y10703_BF1A_22-23,Sarah Smith,30012031,84,Emma Davis,99,Noah Thompson,96,Noah Thompson,40,Emma Davis,59,Noah Thompson,99,Ethan Harris
Y10703_BF1A_22-23,Michael O'Sullivan,30012032,53,Emma Davis,42,Noah Thompson,65,Noah Thompson,75,Emma Davis,82,Noah Thompson,45,Ethan Harris
Y10703_BF1A_22-23,Emma Johnson,30012033,87,Emma Davis,53,Noah Thompson,78,Noah Thompson,85,Emma Davis,65,Noah Thompson,72,Ethan Harris
Y10703_BF1A_22-23,Connor O'Neill,30012034,92,Emma Davis,57,Noah Thompson,74,Noah Thompson,53,Emma Davis,75,Noah Thompson,74,Ethan Harris
Y10703_BF1A_22-23,Aoife Byrne,30012035,82,Emma Davis,75,Noah Thompson,53,Noah Thompson,44,Emma Davis,69,Noah Thompson,86,Ethan Harris
