cohort,name,student no,COM233 grade,COM233 lecturer,COM234 grade,COM234 lecturer,COM281 grade,COM281 lecturer,COM295 grade,COM295 lecturer,COM240 grade,COM240 lecturer,COM236 grade,COM236 lecturer
Y10703_DF1A_22-23,Aoife O'Neill,30012133,65,Ava Martinez,92,Lucas Mitchell,52,Lucas Mitchell,71,Ava Martinez,94,Lucas Mitchell,75,Lucas Mitchell
Y10703_DF1A_22-23,James Murphy,30012134,58,Ava Martinez,71,Lucas Mitchell,40,Lucas Mitchell,46,Ava Martinez,78,Lucas Mitchell,45,Lucas Mitchell
Y10703_DF1A_22-23,Conor Kelly,30012136,51,Ava Martinez,62,Lucas Mitchell,65,Lucas Mitchell,67,Ava Martinez,68,Lucas Mitchell,55,Lucas Mitchell
Y10703_DF1A_22-23,Emily Fitzgerald,30012137,80,Ava Martinez,57,Lucas Mitchell,100,Lucas Mitchell,46,Ava Martinez,73,Lucas Mitchell,46,Lucas Mitchell
Y10703_DF1A_22-23,Daniel O'Connor,30012138,50,Ava Martinez,96,Lucas Mitchell,49,Lucas Mitchell,85,Ava Martinez,90,Lucas Mitchell,91,Lucas Mitchell
Y10703_DF1A_22-23,Mia Johnson,30012140,45,Ava Martinez,66,Lucas Mitchell,84,Lucas Mitchell,63,Ava Martinez,65,Lucas Mitchell,88,Lucas Mitchell
Y10703_DF1A_22-23,Aidan Sullivan,30012141,77,Ava Martinez,82,Lucas Mitchell,92,Lucas Mitchell,41,Ava Martinez,65,Lucas Mitchell,91,Lucas Mitchell
Y10703_DF1A_22-23,Olivia Ryan,30012144,99,Ava Martinez,45,Lucas Mitchell,94,Lucas Mitchell,66,Ava Martinez,61,Lucas Mitchell,45,Lucas Mitchell
Y10703_DF1A_22-23,Noah Thomas,30012145,79,Ava Martinez,72,Lucas Mitchell,47,Lucas Mitchell,73,Ava Martinez,47,Lucas Mitchell,83,Lucas Mitchell
Y10703_DF1A_22-23,Lily Hughes,30012148,86,Ava Martinez,55,Lucas Mitchell,70,Lucas Mitchell,80,Ava Martinez,40,Lucas Mitchell,53,Lucas Mitchell
